문서개수	500
一切	OHJ	5.521460917862246
여부	NNGJ	5.521460917862246
되게	MAG	5.521460917862246
VJ	OL	5.521460917862246
가일	NNG	5.521460917862246
형식	NNGJ	5.521460917862246
응답	NNG	5.521460917862246
끌	VV	5.521460917862246
야영장	NNG	5.521460917862246
우유	NNG	5.521460917862246
juvenile	OL	5.521460917862246
확신	NNGJ	5.521460917862246
온몸	NNGJ	5.521460917862246
합병	NNG	5.521460917862246
납세	NNGJ	5.521460917862246
ga	OLJ	5.521460917862246
소과	NNG	5.521460917862246
gren	OL	5.521460917862246
규범	NNGJ	5.521460917862246
현황	NNG	5.521460917862246
경기	NNGJ	5.521460917862246
소모	NNG	5.521460917862246
쇠그렌	NNG	5.521460917862246
에스	NNG	5.521460917862246
길거리	NNGJ	5.521460917862246
사육신	NNG	5.521460917862246
어리	VA	5.521460917862246
경찰	NNGJ	5.521460917862246
안과	NNG	5.521460917862246
급	NNG	5.521460917862246
거두	VV	5.521460917862246
세력	NNGJ	5.521460917862246
무소식	NNG	5.521460917862246
그룹	NNGJ	5.521460917862246
백로	NNGJ	5.521460917862246
데	MAG	5.521460917862246
Ugeojitguk	OL	5.521460917862246
쳐죽이	VV	5.521460917862246
문제집	NNGJ	5.521460917862246
계층	NNGJ	5.521460917862246
수락	NNG	5.521460917862246
떡	NNG	5.521460917862246
처방전	NNGJ	5.521460917862246
피아노	NNG	5.521460917862246
블랙	NNG	5.521460917862246
trend	OLJ	5.521460917862246
야영	NNG	5.521460917862246
일자	NNG	5.521460917862246
공신력	NNG	5.521460917862246
연유	NNG	5.521460917862246
멸	NNGJ	5.521460917862246
보물	NNG	5.521460917862246
세가지	NNGJ	5.521460917862246
스노우	NNG	5.521460917862246
도착	NNG	5.521460917862246
화	NNGJ	5.521460917862246
넘어뜨리	VV	5.521460917862246
사표	NNG	5.521460917862246
장군	NNG	5.521460917862246
명절	NNG	5.521460917862246
초과	NNG	5.521460917862246
생원	NNGJ	5.521460917862246
진입	NNG	5.521460917862246
편	NNG	5.521460917862246
들쑥날쑥	MAG	5.521460917862246
형화	NNG	5.521460917862246
한걸음	NNGJ	5.521460917862246
상태	NNGJ	5.521460917862246
기간	NNGJ	5.521460917862246
화법	NNGJ	5.521460917862246
간이	NNGJ	5.521460917862246
카드	NNG	5.521460917862246
스위스	NNGJ	5.521460917862246
배우	VV	5.521460917862246
보편	NNG	5.521460917862246
엄마	NNGJ	5.521460917862246
당시	NNGJ	5.521460917862246
정책	NNGJ	5.521460917862246
Sj	OL	5.521460917862246
드라	NNG	5.521460917862246
elected	OL	5.521460917862246
귀중품	NNGJ	5.521460917862246
이모	NNG	5.521460917862246
사판	NNG	5.521460917862246
died	OL	5.521460917862246
맏이	NNG	5.521460917862246
다발	NNGJ	5.521460917862246
틈	NNGJ	5.521460917862246
민요	NNGJ	5.521460917862246
앞뒷면	NNG	5.521460917862246
1974	NR	5.521460917862246
깔끔	NNGJ	5.521460917862246
행렬	NNG	5.521460917862246
아줌마	NNGJ	5.521460917862246
ㅁ	NNG	5.521460917862246
잊히	VV	5.521460917862246
피아골	NNP	5.521460917862246
그날	NNGJ	5.521460917862246
그리	VV	5.521460917862246
합격률	NNG	5.521460917862246
피습	NNG	5.521460917862246
졸	VV	5.521460917862246
고아	NNG	5.521460917862246
사자	NNGJ	5.521460917862246
효력	NNGJ	5.521460917862246
체감	NNG	5.521460917862246
빼앗	VV	5.521460917862246
목록	NNGJ	5.521460917862246
누군가	NPJ	5.521460917862246
밝	VA	5.521460917862246
릴	NNM	5.521460917862246
캘린더	NNG	5.521460917862246
높임말	NNG	5.521460917862246
SBS	OL	5.521460917862246
자세히	MAG	5.521460917862246
시가	NNG	5.521460917862246
부	VV	5.521460917862246
줄짓	VV	5.521460917862246
전자사전	NNGJ	5.521460917862246
written	OL	5.521460917862246
자립적	NNG	5.521460917862246
신설	NNGJ	5.521460917862246
예의	NNGJ	5.521460917862246
람	NNG	5.521460917862246
근육	NNGJ	5.521460917862246
작히	MAG	5.521460917862246
이요	NNG	5.521460917862246
지난주	NNG	5.521460917862246
피자	NNGJ	5.521460917862246
열두째	NNG	5.521460917862246
명도	NNG	5.521460917862246
Galbitang	OL	5.521460917862246
e	OL	5.521460917862246
원전	NNG	5.521460917862246
송별	NNG	5.521460917862246
사위	NNGJ	5.521460917862246
도	VV	5.521460917862246
임진왜란	NNG	5.521460917862246
and	OL	5.521460917862246
gime	OLJ	5.521460917862246
녀	NNG	5.521460917862246
등에	NNGJ	5.521460917862246
봄	NNGJ	5.521460917862246
의회	NNG	5.521460917862246
거문고	NNG	5.521460917862246
빻	VV	5.521460917862246
滯症	OH	5.521460917862246
담상담상	MAG	5.521460917862246
f	OL	5.521460917862246
lipofuscinosis	OL	5.521460917862246
선행	NNG	5.521460917862246
당사자	NNGJ	5.521460917862246
금전	NNGJ	5.521460917862246
더더욱	MAG	5.521460917862246
고학	NNG	5.521460917862246
커피숍	NNGJ	5.521460917862246
듯	VV	5.521460917862246
신부님	NNGJ	5.521460917862246
어종	NNGJ	5.521460917862246
열세	NNG	5.521460917862246
연락	NNGJ	5.521460917862246
상의	NNG	5.521460917862246
썸벅썸벅	MAG	5.521460917862246
담배	NNG	5.521460917862246
듯이	NNB	5.521460917862246
NHK	OLJ	5.521460917862246
낮잠	NNGJ	5.521460917862246
온도	NNGJ	5.521460917862246
배우기	NNGJ	5.521460917862246
침채	NNGJ	5.521460917862246
